"","industry","fyear","theta","convergence","n.obs","theta_k","w_width","w_start","w_end","iterations"
"1","11",1951,0.845736188910262,0,101,0.123420389125119,47,"1928","1974",250
"2","11",1952,0.845736188910262,0,101,0.123420389125119,45,"1930","1974",250
"3","11",1953,0.845736188910262,0,101,0.123420389125119,43,"1932","1974",250
"4","11",1954,0.845736188910262,0,101,0.123420389125119,41,"1934","1974",250
"5","11",1955,0.845736188910262,0,101,0.123420389125119,39,"1936","1974",250
"6","11",1956,0.845736188910262,0,101,0.123420389125119,37,"1938","1974",250
"7","11",1957,0.845736188910262,0,101,0.123420389125119,35,"1940","1974",250
"8","11",1958,0.845736188910262,0,101,0.123420389125119,33,"1942","1974",250
"9","11",1959,0.845736188910262,0,101,0.123420389125119,31,"1944","1974",250
"10","11",1960,0.845736188910262,0,101,0.123420389125119,29,"1946","1974",250
"11","11",1961,0.845736188910262,0,101,0.123420389125119,27,"1948","1974",250
"12","11",1962,0.845736188910262,0,101,0.123420389125119,25,"1950","1974",250
"13","11",1963,0.832385327458575,0,101,0.0942354999313565,23,"1952","1974",323
"14","11",1964,0.846896529384088,0,112,0.123880967248952,23,"1953","1975",117
"15","11",1965,0.846304375167391,0,108,0.123913353026768,21,"1955","1975",115
"16","11",1966,0.844448798321324,0,104,0.1257940665267,19,"1957","1975",192
"17","11",1967,0.849329258943035,0,114,0.121702988501938,19,"1958","1976",33
"18","11",1968,0.842975395027585,0,108,0.0759859774223029,17,"1960","1976",254
"19","11",1969,0.855693077845409,0,100,0.121112105066275,15,"1962","1976",34
"20","11",1970,0.858973488757627,0,110,0.121751707758095,15,"1963","1977",87
"21","11",1971,0.856416823235331,0,102,0.126766370521548,13,"1965","1977",87
"22","11",1972,0.857416128274854,0,110,0.125441362062142,13,"1966","1978",34
"23","11",1973,0.861679123534381,0,116,0.117031814682067,13,"1967","1979",101
"24","11",1974,0.861665063823444,0,106,0.116482507074768,11,"1969","1979",103
"25","11",1975,0.869513213832604,0,113,0.125911585673896,11,"1970","1980",244
"26","11",1976,0.875497737318239,0,117,0.101488755727492,11,"1971","1981",261
"27","11",1977,0.878657273423499,0,103,0.10024664001015,9,"1973","1981",182
"28","11",1978,0.888673648828707,0,107,0.0884458621937171,9,"1974","1982",526
"29","11",1979,0.900367887538161,0,112,0.0778474318525162,9,"1975","1983",200
"30","11",1980,0.910574710301836,0,113,0.0709475477649596,9,"1976","1984",207
"31","11",1981,0.908899590987403,0,115,0.0786467946153342,9,"1977","1985",91
"32","11",1982,0.884668606958414,0,124,0.108342137456415,9,"1978","1986",232
"33","11",1983,0.885767623494236,0,100,0.111263370658355,7,"1980","1986",371
"34","11",1984,0.874040069395021,0,105,0.124820187655756,7,"1981","1987",93
"35","11",1985,0.838093158916169,0,114,0.177296736727217,7,"1982","1988",93
